"store";"sku";"price";"msrp"
"store_7x24petshop_main_tr";"KEGDA5119662";43,57;49,51
"store_7x24petshop_main_tr";"KEGDA12081215";171,6;195
"store_7x24petshop_main_tr";"KEGDA12158039";35,2;40
"store_7x24petshop_main_tr";"KEGDA12158056";35,2;40
"store_7x24petshop_main_tr";"KEGDA12158059";27,07;30,76
"store_7x24petshop_main_tr";"KOGDA12124841";118,8;135
"store_7x24petshop_main_tr";"KOGDA12124840";34,32;39
"store_7x24petshop_main_tr";"KOGDA12123032";44;50
"store_7x24petshop_main_tr";"KOGDA12123031";162,8;185
"store_7x24petshop_main_tr";"KOGDA12123421";29,03;32,99
"store_7x24petshop_main_tr";"KOGDA12123428";118,8;135
"store_7x24petshop_main_tr";"KOGDA12124846";33;37,5
"store_7x24petshop_main_tr";"KOGDA12124842";140,8;160
"store_7x24petshop_main_tr";"KOGDA12123002";44;50
"store_7x24petshop_main_tr";"KOGDA12123227";153,97;174,97
"store_7x24petshop_main_tr";"KOGDA12122983";34,32;39
"store_7x24petshop_main_tr";"KOGDA12122984";158,4;180
"store_7x24petshop_main_tr";"KEGDA12032582";3,15;3,5
"store_7x24petshop_main_tr";"KEGDA12032393";3,15;3,5
"store_7x24petshop_main_tr";"KEGDA12032392";3,15;3,5
"store_7x24petshop_main_tr";"KEGDA12130919";3,15;3,5
"store_7x24petshop_main_tr";"KEGDA12109424";3,15;3,5
"store_7x24petshop_main_tr";"KEGDA12109500";3,15;3,5
"store_7x24petshop_main_tr";"KEGDA12032394";3,15;3,5
"store_7x24petshop_main_tr";"KEGDA12032395";3,15;3,5
"store_7x24petshop_main_tr";"KEGDA12222480";3,24;3,6
"store_7x24petshop_main_tr";"KEGDA12061096";3,24;3,6
"store_7x24petshop_main_tr";"KEGDA12061099";3,24;3,6
"store_7x24petshop_main_tr";"KEGDA12222481";3,24;3,6
"store_7x24petshop_main_tr";"KEGDA12222491";4,05;4,5
"store_7x24petshop_main_tr";"KEGDA12085148";3,24;3,6
"store_7x24petshop_main_tr";"KEGDA12222492";3,24;3,6
"store_7x24petshop_main_tr";"KOGDA340431";3,95;3,95
"store_7x24petshop_main_tr";"KOGDA340433";19,85;19,85
"store_7x24petshop_main_tr";"KOGDA340436";72,5;72,5
"store_7x24petshop_main_tr";"KOGDA340437";72,5;72,5
"store_7x24petshop_main_tr";"KOGDA340432";3,95;3,95
"store_7x24petshop_main_tr";"KOGDA340435";19,85;19,85
"store_7x24petshop_main_tr";"KOGDA340438";72,5;72,5
"store_7x24petshop_main_tr";"KOGDA340434";19,85;19,85
"store_7x24petshop_main_tr";"KEGDA340236";4,4;4,4
"store_7x24petshop_main_tr";"KEGDA340239";18,5;18,5
